Namn,Dag,Månad
Svea,2,1
Alfred,3,1
Alfrida,3,1
Rut,4,1
Hanna,5,1
Hanne,5,1
Hannele,5,1
Hanny,5,1
Baltsar,6,1
Caspar,6,1
Kasper,6,1
Melchior,6,1
Melker,6,1
Age,7,1
Agge,7,1
August,7,1
Augusta,7,1
Augustin,7,1
Augustinus,7,1
Gusten,7,1
Gusti,7,1
Erland,8,1
Gunde,9,1
Gunder,9,1
Gunnar,9,1
Günther,9,1
Sigbritt,10,1
Sigge,10,1
Sigurd,10,1
Jan,11,1
Janne,11,1
Jannika,11,1
Jannike,11,1
Frideborg,12,1
Knut,13,1
Felicia,14,1
Felix,14,1
Lalla,15,1
Larry,15,1
Laura,15,1
Laurens,15,1
Laurentia,15,1
Laurentius,15,1
Lauri,15,1
Laurina,15,1
Lauritz,15,1
Lawrence,15,1
Lorentz,15,1
Helmer,16,1
Hjalmar,16,1
Anthony,17,1
Anton,17,1
Antoni,17,1
Antonio,17,1
Antonius,17,1
Tönnes,17,1
Tony,17,1
Hilda,18,1
Hilde,18,1
Hildur,18,1
Enrique,19,1
Heikki,19,1
Heine,19,1
Heinrich,19,1
Heinz,19,1
Henri,19,1
Henrik,19,1
Henry,19,1
Fabian,20,1
Sebastian,20,1
Agna,21,1
Agnes,21,1
Agneta,21,1
Agnete,21,1
Neta,21,1
Viktor,22,1
Vincent,22,1
Frej,23,1
Freja,23,1
Erika,24,1
Paavo,25,1
Pablo,25,1
Pål,25,1
Palle,25,1
Paul,25,1
Pauli,25,1
Paulus,25,1
Pavel,25,1
Poul,25,1
Bodil,26,1
Boel,26,1
Bolla,26,1
Botilda,26,1
Göta,27,1
Göte,27,1
Götilda,27,1
Carlo,28,1
Carlos,28,1
Carol,28,1
Charles,28,1
Charlie,28,1
Kaarlo,28,1
Karl,28,1
Karla,28,1
Diana,29,1
Diane,29,1
Gulla,30,1
Gullan,30,1
Gulli,30,1
Gullie,30,1
Gully,30,1
Gundel,30,1
Gunhild,30,1
Gunilla,30,1
Gunnela,30,1
Gunni,30,1
Gunnie,30,1
Gunnil,30,1
Gunnila,30,1
Gunny,30,1
Ivar,31,1
Joar,31,1
Max,1,2
Maximilian,1,2
Disa,3,2
Hjördis,3,2
Anselm,4,2
Ansgar,4,2
Ansgarius,4,2
Selm,4,2
Selmer,4,2
Agata,5,2
Agaton,5,2
Agda,5,2
Ågot,5,2
Dolly,6,2
Dora,6,2
Dordi,6,2
Doris,6,2
Dorit,6,2
Dorotea,6,2
Dorthy,6,2
Dick,7,2
Ricky,7,2
Rikard,7,2
Bert,8,2
Berta,8,2
Bertina,8,2
Fanny,9,2
Francesca,9,2
Franciska,9,2
Iris,10,2
Inge,11,2
Ingo,11,2
Yngve,11,2
Evelin,12,2
Evelina,12,2
Eveline,12,2
Evelyn,12,2
Evy,12,2
Agne,13,2
Ove,13,2
Valentin,14,2
Valentina,14,2
Vally,14,2
Sigfrid,15,2
Jill,16,2
Julia,16,2
Juliana,16,2
Julie,16,2
Juliette,16,2
Julio,16,2
Julius,16,2
Alejandra,17,2
Alexandra,17,2
Alla,17,2
Alli,17,2
Allie,17,2
Ally,17,2
Sandra,17,2
Elfrida,18,2
Elfriede,18,2
Frida,18,2
Fritiof,18,2
Ella,19,2
Gabriella,19,2
Gabrielle,19,2
Gaby,19,2
Viviana,20,2
Vivianne,20,2
Hilding,21,2
Pia,22,2
Torsten,23,2
Torun,23,2
Mats,24,2
Matti,24,2
Mattias,24,2
Mattis,24,2
Sigvard,25,2
Sivar,25,2
Sivard,25,2
Sivert,25,2
Torgny,26,2
Torkel,26,2
Lage,27,2
Lago,27,2
Lave,27,2
Maisie,28,2
Maja,28,2
Majli,28,2
Manja,28,2
Mari,28,2
Maria,28,2
Mariella,28,2
Marielle,28,2
Marietta,28,2
Mariette,28,2
Marion,28,2
Marja,28,2
Marjatta,28,2
Marjo,28,2
Mary,28,2
Maryam,28,2
Mia,28,2
Mimmi,28,2
Mimmie,28,2
Mirja,28,2
Albin,1,3
Alvin,1,3
Elva,1,3
Elvi,1,3
Elvie,1,3
Elvira,1,3
Elvy,1,3
Erna,2,3
Ernesto,2,3
Ernst,2,3
Gunborg,3,3
Gunda,3,3
Gunvor,3,3
Adrian,4,3
Adriana,4,3
Adrienne,4,3
Tora,5,3
Tova,5,3
Tove,5,3
Tuve,5,3
Ebba,6,3
Ebbe,6,3
Camilla,7,3
Saga,8,3
Siv,8,3
Torben,9,3
Torbjörn,9,3
Torleif,9,3
Ada,10,3
Edla,10,3
Ethel,10,3
Edvin,11,3
Egon,11,3
Tori,12,3
Vicky,12,3
Viktoria,12,3
Greger,13,3
Gregor,13,3
Gregorius,13,3
Grels,13,3
Reijo,13,3
Matilda,14,3
Matilde,14,3
Matty,14,3
Maud,14,3
Milda,14,3
Tilda,14,3
Tilde,14,3
Tilly,14,3
Chris,15,3
Kristoffer,15,3
Gilbert,16,3
Herbert,16,3
Gerti,17,3
Gertie,17,3
Gertrud,17,3
Gerty,17,3
Kerttu,17,3
Trude,17,3
Edde,18,3
Eddie,18,3
Eddy,18,3
Edmund,18,3
Eduardo,18,3
Edvard,18,3
Giuseppe,19,3
José,19,3
Josef,19,3
Josefin,19,3
Josefina,19,3
Josefine,19,3
Joakim,20,3
Jockum,20,3
Kim,20,3
Benedikt,21,3
Bengt,21,3
Bengta,21,3
Benita,21,3
Bent,21,3
Pentti,21,3
Ken,22,3
Kennet,22,3
Kennie,22,3
Kenny,22,3
Kent,22,3
Gerd,23,3
Gerda,23,3
Gabriel,24,3
Rafael,24,3
Emanuel,26,3
Immanuel,26,3
Manne,26,3
Manuel,26,3
Manuela,26,3
Ralf,27,3
Rudolf,27,3
Malkolm,28,3
Morgan,28,3
Jens,29,3
Jonas,29,3
Holger,30,3
Holmfrid,30,3
Essie,31,3
Essy,31,3
Ester,31,3
Harald,1,4
Harold,1,4
Hervor,1,4
Gudmund,2,4
Ingeman,2,4
Ingemund,2,4
Ferdinand,3,4
Fernando,3,4
Hernan,3,4
Nanna,3,4
Marianne,4,4
Marlen,4,4
Marlene,4,4
Iren,5,4
Irena,5,4
Irene,5,4
Irina,5,4
Irja,5,4
Bill,6,4
Billy,6,4
Guillermo,6,4
Vilhelm,6,4
Viljo,6,4
Ville,6,4
Villy,6,4
Willi,6,4
William,6,4
Irma,7,4
Irmeli,7,4
Irmelin,7,4
Irmgard,7,4
Nadja,8,4
Tanja,8,4
Tatjana,8,4
Otelia,9,4
Otti,9,4
Ottilia,9,4
Otto,9,4
Igor,10,4
Ingar,10,4
Ingvar,10,4
Ingvor,10,4
Yngvar,10,4
Ulf,11,4
Wolf,11,4
Ylva,11,4
Liv,12,4
Arto,13,4
Artur,13,4
Douglas,13,4
Tiburtius,14,4
Oliver,15,4
Olivia,15,4
Olly,15,4
Viva,15,4
Patricia,16,4
Patrik,16,4
Elias,17,4
Elis,17,4
Ellis,17,4
Valde,18,4
Valdemar,18,4
Valle,18,4
Vladimir,18,4
Volmar,18,4
Volmer,18,4
Ola,19,4
Olaus,19,4
Olavus,19,4
Amalia,20,4
Amalie,20,4
Amelia,20,4
Amelie,20,4
Emelia,20,4
Emelie,20,4
Anneli,21,4
Annelie,21,4
Annika,21,4
Allan,22,4
Glenn,22,4
Georg,23,4
George,23,4
Georges,23,4
Georgina,23,4
Georgios,23,4
Georgius,23,4
Gina,23,4
Göran,23,4
György,23,4
Jorge,23,4
Yrjö,23,4
Vega,24,4
Marco,25,4
Mark,25,4
Markku,25,4
Markus,25,4
Teresa,26,4
Terese,26,4
Teresia,26,4
Engelbrekt,27,4
Ingbert,27,4
Ture,28,4
Tyra,28,4
Tyko,29,4
Mariana,30,4
Valborg,1,5
Felipe,2,5
Filip,2,5
Filippa,2,5
Ian,3,5
Jane,3,5
John,3,5
Mona,4,5
Monika,4,5
Monique,4,5
Erhard,5,5
Gotthard,5,5
Marit,6,5
Rita,6,5
Carina,7,5
Carine,7,5
Carita,7,5
Åge,8,5
Åke,8,5
Reidar,9,5
Reidun,9,5
Asbjörn,10,5
Esbjörn,10,5
Styrbjörn,10,5
Märet,11,5
Märit,11,5
Märta,11,5
Merete,11,5
Merit,11,5
Charlott,12,5
Charlotta,12,5
Charlotte,12,5
Lotta,12,5
Lotte,12,5
Lotten,12,5
Lottie,12,5
Linn,13,5
Linnea,13,5
Nea,13,5
Ninni,13,5
Ninnie,13,5
Halvar,14,5
Halvard,14,5
Halvor,14,5
Sofi,15,5
Sofia,15,5
Sofie,15,5
Sonja,15,5
Ronald,16,5
Ronnie,16,5
Ronny,16,5
Rebecka,17,5
Ruben,17,5
Eero,18,5
Erik,18,5
Erkki,18,5
Jerk,18,5
Jerker,18,5
Maj,19,5
Majken,19,5
May,19,5
Calla,20,5
Carola,20,5
Carole,20,5
Caroline,20,5
Karolin,20,5
Karolina,20,5
Lina,20,5
Line,20,5
Connie,21,5
Conny,21,5
Constance,21,5
Konstantia,21,5
Konstantin,21,5
Hemming,22,5
Henning,22,5
Desideria,23,5
Desirée,23,5
Ivan,24,5
Vanja,24,5
Urban,25,5
Helma,26,5
Helmi,26,5
Helmina,26,5
Hilma,26,5
Mina,26,5
Minna,26,5
Minnie,26,5
Vilhelmina,26,5
Vilma,26,5
Beda,27,5
Blenda,27,5
Bojan,28,5
Borghild,28,5
Ingeborg,28,5
Jeanette,29,5
Yvette,29,5
Yvonne,29,5
Vera,30,5
Veronika,30,5
Nilla,31,5
Pernilla,31,5
Pernille,31,5
Petronella,31,5
Gun,1,6
Gunnel,1,6
Roger,2,6
Rutger,2,6
Gudmar,3,6
Ingemar,3,6
Ingmar,3,6
Solbritt,4,6
Solveig,4,6
Solvig,4,6
Bo,5,6
Bonde,5,6
Bosse,5,6
Gösta,6,6
Gustav,6,6
Gustava,6,6
Bob,7,6
Bobby,7,6
Robert,7,6
Roberto,7,6
Robin,7,6
Rupert,7,6
Eivor,8,6
Majvor,8,6
Birger,9,6
Börje,9,6
Boris,10,6
Svante,10,6
Barthold,11,6
Bertel,11,6
Berthold,11,6
Bertil,11,6
Pertti,11,6
Eskil,12,6
Esko,12,6
Aina,13,6
Aini,13,6
Aino,13,6
Håkan,14,6
Hakon,14,6
Håkon,14,6
Hakvin,14,6
Margit,15,6
Margot,15,6
Acke,16,6
Axel,16,6
Axelia,16,6
Axelina,16,6
Torborg,17,6
Torvald,17,6
Bjarne,18,6
Björn,18,6
Björne,18,6
Björner,18,6
Germund,19,6
Görel,19,6
Belinda,20,6
Linda,20,6
Alf,21,6
Alvar,21,6
Alve,21,6
Paula,22,6
Paulina,22,6
Pauline,22,6
Paulinus,22,6
Adolf,23,6
Adolfina,23,6
Alef,23,6
Alice,23,6
Alicia,23,6
David,25,6
Davida,25,6
Salomon,25,6
Lea,26,6
Rakel,26,6
Fingal,27,6
Selma,27,6
Leo,28,6
Leon,28,6
Peder,29,6
Pedro,29,6
Pekka,29,6
Peter,29,6
Petra,29,6
Petri,29,6
Petrus,29,6
Petter,29,6
Pierre,29,6
Pieter,29,6
Piotr,29,6
Elf,30,6
Elof,30,6
Leif,30,6
Aron,1,7
Mirja,1,7
Mirjam,1,7
Rosa,2,7
Rosalie,2,7
Rosi,2,7
Rosie,2,7
Rosina,2,7
Rosine,2,7
Rosita,2,7
Aura,3,7
Aurora,3,7
Aurore,3,7
Rika,4,7
Ulla,4,7
Ulrika,4,7
Ulrike,4,7
Aila,5,7
Aili,5,7
Laila,5,7
Ritva,5,7
Esa,6,7
Esaias,6,7
Esse,6,7
Jessika,6,7
Claes,7,7
Claus,7,7
Klas,7,7
Klaus,7,7
Kettil,8,7
Kjell,8,7
Jörgen,9,7
Jörn,9,7
Jürgen,9,7
Örjan,9,7
André,10,7
Andrea,10,7
Andrietta,10,7
Eleanor,11,7
Eleonora,11,7
Eleonore,11,7
Elli,11,7
Ellinor,11,7
Elly,11,7
Leonor,11,7
Leonora,11,7
Leonore,11,7
Nellie,11,7
Nelly,11,7
Nora,11,7
Herman,12,7
Hermina,12,7
Hermine,12,7
Joel,13,7
Judit,13,7
Jutta,13,7
Jytte,13,7
Folke,14,7
Ragnhild,15,7
Ragni,15,7
Ragnvald,15,7
Ragny,15,7
Rauni,15,7
Reine,16,7
Reinhold,16,7
Reino,16,7
Bruno,17,7
Federico,18,7
Fred,18,7
Freddie,18,7
Freddy,18,7
Fredrik,18,7
Friedrich,18,7
Fritz,18,7
Salli,19,7
Sally,19,7
Sara,19,7
Zarah,19,7
Gret,20,7
Greta,20,7
Gretchen,20,7
Grete,20,7
Gretel,20,7
Maggie,20,7
Mait,20,7
Malgorzata,20,7
Maret,20,7
Marga,20,7
Margareta,20,7
Margita,20,7
Margret,20,7
Margreta,20,7
Margrete,20,7
Marguerite,20,7
Meit,20,7
Meta,20,7
Peggy,20,7
Janet,21,7
Janna,21,7
Jannie,21,7
Jeanna,21,7
Jeanne,21,7
Jen,21,7
Johanna,21,7
Johanne,21,7
Jonna,21,7
Lone,22,7
Madeleine,22,7
Magda,22,7
Magdalena,22,7
Malla,22,7
Emerentia,23,7
Emma,23,7
Emmy,23,7
Christa,24,7
Christiane,24,7
Kersti,24,7
Kerstin,24,7
Kickan,24,7
Kicki,24,7
Kirsten,24,7
Kirsti,24,7
Kristin,24,7
Kristina,24,7
Ninna,24,7
Stina,24,7
Tina,24,7
Titti,24,7
Ib,25,7
Jaakko,25,7
Jack,25,7
Jacqueline,25,7
Jacques,25,7
Jaime,25,7
Jakob,25,7
James,25,7
Jeppe,25,7
Jim,25,7
Jimi,25,7
Jimmie,25,7
Jimmy,25,7
Jasmina,26,7
Jasmine,26,7
Jesper,26,7
Marta,27,7
Botvid,28,7
Seve,28,7
Seved,28,7
Olav,29,7
Olavi,29,7
Ole,29,7
Olle,29,7
Olof,29,7
Algot,30,7
Eila,31,7
Elaine,31,7
Elena,31,7
Eli,31,7
Elin,31,7
Elina,31,7
Eline,31,7
Elna,31,7
Elny,31,7
Helen,31,7
Helena,31,7
Helene,31,7
Helli,31,7
Helly,31,7
Helna,31,7
Ilona,31,7
Pelle,1,8
Per,1,8
Kaja,2,8
Kajsa,2,8
Karen,2,8
Kari,2,8
Karin,2,8
Karna,2,8
Tage,3,8
Arent,4,8
Arild,4,8
Arndt,4,8
Arne,4,8
Arno,4,8
Arnold,4,8
Alarik,5,8
Alrik,5,8
Ulrik,5,8
Alfons,6,8
Inez,6,8
Lilja,6,8
Denise,7,8
Dennis,7,8
Silva,8,8
Silvana,8,8
Silvia,8,8
Sylva,8,8
Sylvi,8,8
Sylvia,8,8
Sylvie,8,8
Roland,9,8
Lars,10,8
Lasse,10,8
Sanna,11,8
Sanne,11,8
Sanny,11,8
Susanna,11,8
Susanne,11,8
Susie,11,8
Claire,12,8
Clarence,12,8
Clarie,12,8
Clarissa,12,8
Clary,12,8
Klara,12,8
Kaj,13,8
Uno,14,8
Estelle,15,8
Stella,15,8
Brynolf,16,8
Valter,17,8
Verna,17,8
Verner,17,8
Volter,17,8
Ellen,18,8
Lena,18,8
Lene,18,8
Lenita,18,8
Magnus,19,8
Måns,19,8
Mogens,19,8
Berna,20,8
Bernhard,20,8
Bernhardina,20,8
Bernt,20,8
Jon,21,8
Jonna,21,8
Henny,22,8
Henrietta,22,8
Henriette,22,8
Henrika,22,8
Signar,23,8
Signe,23,8
Signhild,23,8
Signy,23,8
Bartolomeus,24,8
Lou,25,8
Louisa,25,8
Louise,25,8
Lova,25,8
Lovisa,25,8
Lovise,25,8
Luisa,25,8
Luise,25,8
Esten,26,8
Östen,26,8
Raoul,27,8
Rolf,27,8
Fatima,28,8
Leila,28,8
Hampus,29,8
Hans,29,8
Hasse,29,8
Abbe,30,8
Adalbert,30,8
Alba,30,8
Albert,30,8
Albertina,30,8
Alberto,30,8
Albrekt,30,8
Arve,31,8
Arvid,31,8
Arvida,31,8
Arvo,31,8
Vidar,31,8
Sam,1,9
Sami,1,9
Sammy,1,9
Samuel,1,9
Justina,2,9
Justus,2,9
Alfhild,3,9
Alva,3,9
Alvi,3,9
Alvina,3,9
Alvy,3,9
Gisela,4,9
Adela,5,9
Adele,5,9
Adelia,5,9
Adelina,5,9
Adla,5,9
Alida,5,9
Alina,5,9
Aline,5,9
Heidi,5,9
Lilian,6,9
Lillie,6,9
Lilly,6,9
Kevin,7,9
Roy,7,9
Alma,8,9
Hulda,8,9
Anita,9,9
Annette,9,9
Tord,10,9
Torfrid,10,9
Turid,10,9
Dagny,11,9
Helny,11,9
Åsa,12,9
Åse,12,9
Aslög,12,9
Åslög,12,9
Sture,13,9
Ida,14,9
Ronja,14,9
Sickan,15,9
Sigga,15,9
Sigrid,15,9
Siri,15,9
Dag,16,9
Daga,16,9
Dage,16,9
Hildegard,17,9
Magna,17,9
Magne,17,9
Magnhild,17,9
Orvar,18,9
Fredrika,19,9
Elisa,20,9
Elise,20,9
Lisa,20,9
Lise,20,9
Matteus,21,9
Maurice,22,9
Maurits,22,9
Moje,22,9
Moritz,22,9
Morris,22,9
Tea,23,9
Tekla,23,9
Gerhard,24,9
Gert,24,9
Jerry,24,9
Tryggve,25,9
Eina,26,9
Einar,26,9
Eje,26,9
Enar,26,9
Dagmar,27,9
Rigmor,27,9
Lennart,28,9
Lennie,28,9
Lenny,28,9
Leonard,28,9
Michel,29,9
Michelle,29,9
Mickel,29,9
Miguel,29,9
Mikael,29,9
Mikaela,29,9
Mike,29,9
Mikko,29,9
Helge,30,9
Helgo,30,9
Ragna,1,10
Ragnar,1,10
Ragni,1,10
Rainer,1,10
Rauno,1,10
Reiner,1,10
Lajos,2,10
Louis,2,10
Love,2,10
Ludvig,2,10
Luis,2,10
Evald,3,10
Osvald,3,10
Francesco,4,10
Francis,4,10
Francisco,4,10
Franco,4,10
Frank,4,10
Franklin,4,10
Frans,4,10
Franz,4,10
Bror,5,10
Jenni,6,10
Jennie,6,10
Jennifer,6,10
Jenny,6,10
Bibbi,7,10
Birgitta,7,10
Birgitte,7,10
Birte,7,10
Böret,7,10
Brigitta,7,10
Brigitte,7,10
Britt,7,10
Britta,7,10
Britte,7,10
Britten,7,10
Git,7,10
Gittan,7,10
Pirjo,7,10
Pirkko,7,10
Riitta,7,10
Nils,8,10
Nisse,8,10
Inger,9,10
Ingrid,9,10
Inkeri,9,10
Harri,10,10
Harriet,10,10
Harry,10,10
Elling,11,10
Erling,11,10
Jarl,11,10
Manfred,12,10
Manfrid,12,10
Valfrid,12,10
Valfrida,12,10
Berit,13,10
Birgit,13,10
Stellan,14,10
Hedda,15,10
Heddy,15,10
Hedvig,15,10
Helvig,15,10
Hildevig,15,10
Hill,15,10
Hillevi,15,10
Hilly,15,10
Hilvi,15,10
Vivi,15,10
Finn,16,10
Antoinetta,17,10
Antoinette,17,10
Antonia,17,10
Antonina,17,10
Toini,17,10
Toni,17,10
Luka,18,10
Lukas,18,10
Tor,19,10
Tore,19,10
Sibyl,20,10
Sibylla,20,10
Ursula,21,10
Yrsa,21,10
Marika,22,10
Marita,22,10
Maritza,22,10
Severin,23,10
Severina,23,10
Sören,23,10
Eberhard,24,10
Eilert,24,10
Eve,24,10
Evert,24,10
Inga,25,10
Ingalill,25,10
Amanda,26,10
Amandus,26,10
Amy,26,10
Manda,26,10
Mandis,26,10
Rasmus,26,10
Bina,27,10
Ina,27,10
Sabina,27,10
Sabine,27,10
Simon,28,10
Simona,28,10
Simone,28,10
Lola,29,10
Viola,29,10
Violet,29,10
Violetta,29,10
Violette,29,10
Bella,30,10
Bellis,30,10
Elsa,30,10
Else,30,10
Elsie,30,10
Elsy,30,10
Ilse,30,10
Isa,30,10
Isabell,30,10
Isabella,30,10
Isabelle,30,10
Ditte,31,10
Edgar,31,10
Edgard,31,10
Edit,31,10
Tobias,2,11
Hubert,3,11
Hugo,3,11
Sverker,4,11
Eugen,5,11
Eugenia,5,11
Gustav Adolf,6,11
Ingegerd,7,11
Ingela,7,11
Vendela,8,11
Vendla,8,11
Ted,9,11
Teddy,9,11
Teodor,9,11
Teodora,9,11
Theo,9,11
Martin,10,11
Martina,10,11
Martine,10,11
Martinus,10,11
Martti,10,11
Mårten,11,11
Konrad,12,11
Kuno,12,11
Kurt,12,11
Karsten,13,11
Kasten,13,11
Kristen,13,11
Krister,13,11
Kristian,13,11
Risto,13,11
Emil,14,11
Emilia,14,11
Emilio,14,11
Emily,14,11
Emmy,14,11
Emy,14,11
Millan,14,11
Mille,14,11
Milly,14,11
Leopold,15,11
Vibeke,16,11
Vivan,16,11
Viveka,16,11
Vivika,16,11
Naemi,17,11
Naima,17,11
Naimi,17,11
Naomi,17,11
Noomi,17,11
Lillemor,18,11
Moa,18,11
Bessie,19,11
Beth,19,11
Betsy,19,11
Bettina,19,11
Betty,19,11
Elisabet,19,11
Elisif,19,11
Eliza,19,11
Elzbieta,19,11
Lill,19,11
Lis,19,11
Lisbet,19,11
Lisen,19,11
Lisette,19,11
Lissi,19,11
Lissie,19,11
Lissy,19,11
Liz,19,11
Lizette,19,11
Lizzi,19,11
Lizzie,19,11
Lizzy,19,11
Maren,20,11
Marina,20,11
Pontus,20,11
Elga,21,11
Helga,21,11
Hella,21,11
Helle,21,11
Olga,21,11
Cecilia,22,11
Celia,22,11
Celina,22,11
Celine,22,11
Cilla,22,11
Cissi,22,11
Sissa,22,11
Sissel,22,11
Sissela,22,11
Sissi,22,11
Klemens,23,11
Gudrun,24,11
Guje,24,11
Runa,24,11
Rune,24,11
Runo,24,11
Catalina,25,11
Katalin,25,11
Katarina,25,11
Katarzyna,25,11
Kate,25,11
Käthe,25,11
Kathy,25,11
Katinka,25,11
Katja,25,11
Katri,25,11
Katrin,25,11
Ketty,25,11
Kitty,25,11
Nina,25,11
Linus,26,11
Asta,27,11
Astrid,27,11
Estrid,27,11
Malte,28,11
Sone,29,11
Sonny,29,11
Sune,29,11
Anders,30,11
Andras,30,11
Andreas,30,11
Andrej,30,11
Andres,30,11
Andrew,30,11
Andris,30,11
Andy,30,11
Ante,30,11
Antero,30,11
Antti,30,11
Nanne,30,11
Oskar,1,12
Ossian,1,12
Beata,2,12
Beatrice,2,12
Lidia,3,12
Lydia,3,12
Barbara,4,12
Barbro,4,12
Sven,5,12
Nicholas,6,12
Niklas,6,12
Nikolaus,6,12
Angela,7,12
Angelika,7,12
Angelina,7,12
Virginia,8,12
Anna,9,12
Malena,10,12
Malene,10,12
Malin,10,12
Dan,11,12
Dana,11,12
Daniel,11,12
Daniela,11,12
Danny,11,12
Alejandro,12,12
Alessandro,12,12
Alex,12,12
Alexander,12,12
Alexia,12,12
Alexis,12,12
Alexius,12,12
Sander,12,12
Sante,12,12
Lucia,13,12
Lucie,13,12
Sixten,14,12
Sten,14,12
Gottfrid,15,12
Gottfrida,15,12
Jeff,15,12
Assar,16,12
Asser,16,12
Stig,17,12
Abraham,18,12
Ibrahim,18,12
Isak,19,12
Israel,20,12
Moses,20,12
Tom,21,12
Tomas,21,12
Tommi,21,12
Tommie,21,12
Tommy,21,12
Tuomo,21,12
Jonatan,22,12
Natan,22,12
Natanael,22,12
Adam,23,12
Eva,24,12
Esteban,26,12
Istvan,26,12
Staffan,26,12
Stefan,26,12
Stefania,26,12
Stefano,26,12
Stefanus,26,12
Steffan,26,12
Steffen,26,12
Stephanie,26,12
Stephen,26,12
Steve,26,12
Tapani,26,12
Giovanni,27,12
Hannes,27,12
Hannu,27,12
Ioannis,27,12
Janos,27,12
Jean,27,12
Joen,27,12
Johan,27,12
Johannes,27,12
Johnnie,27,12
Johnny,27,12
Jonne,27,12
Jöns,27,12
Juan,27,12
Juha,27,12
Juhani,27,12
Juho,27,12
Jukka,27,12
Jussi,27,12
Ben,28,12
Benjamin,28,12
Benni,28,12
Bennie,28,12
Benny,28,12
Natali,29,12
Natalia,29,12
Natalie,29,12
Natasha,29,12
Abel,30,12
Set,30,12
Sylve,31,12
Sylvester,31,12
